商品id,商品名称,价格,商品大类,商品小类,链接,小类id,小类url
2492276,LooCa親水記憶棉枕下殺組-勁,790,寢具,熱銷TOP30,https://www.etmall.com.tw/LooCa親水記憶棉枕下殺組-勁/i/2492276?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2516813,棉睡三店 台灣製 法蘭絨雙面厚暖被2入 (150x200cm),990,寢具,熱銷TOP30,https://www.etmall.com.tw/棉睡三店-台灣製-法蘭絨雙面厚暖被2入-150x200cm/i/2516813?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2516439,LEEDAR 麗的    頂級精梳棉兩用被床包組單人/雙人/加大(多款任選),990,寢具,熱銷TOP30,https://www.etmall.com.tw/LEEDAR-麗的-頂級精梳棉兩用被床包組單人-雙人-加大-多款任選/i/2516439?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2515755,NINO1881澳洲美麗諾羊毛石墨烯蓄熱被(2.4kg)-雙人6*7尺,1445,寢具,熱銷TOP30,https://www.etmall.com.tw/NINO1881澳洲美麗諾羊毛石墨烯蓄熱被-2-4kg-雙人6-7尺/i/2515755?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2495721,日本內外織物醫極棒可調機能枕-雙入,2870,寢具,熱銷TOP30,https://www.etmall.com.tw/日本內外織物醫極棒可調機能枕-雙入/i/2495721?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2505963,LEEDAR 麗的  法爵   頂級特大型乳膠枕買一送一四款任選,890,寢具,熱銷TOP30,https://www.etmall.com.tw/LEEDAR-麗的-法爵-頂級特大型乳膠枕買一送一四款任選/i/2505963?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2505298,KOSNEY   福氣  頂級石墨烯吸溼排汗續熱速暖機能發熱被單人/雙人任選台灣製造,990,寢具,熱銷TOP30,https://www.etmall.com.tw/KOSNEY-福氣-頂級石墨烯吸溼排汗續熱速暖機能發熱被單人-雙人任選台灣製造/i/2505298?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2491338,LooCa台灣製造石墨烯恆溫暖冬被,1880,寢具,熱銷TOP30,https://www.etmall.com.tw/LooCa台灣製造石墨烯恆溫暖冬被/i/2491338?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2497863,J-bedtime 高質感天絲TENCELR六件式舖棉床罩組-雙人/加大(多款任選),1980,寢具,熱銷TOP30,https://www.etmall.com.tw/J-bedtime-高質感天絲TENCELR六件式舖棉床罩組-雙人-加大-多款任選/i/2497863?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2495567,捕夢網-Royal Latex 泰國皇家乳膠枕,790,寢具,熱銷TOP30,https://www.etmall.com.tw/捕夢網-Royal-Latex-泰國皇家乳膠枕/i/2495567?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2492397,KOSNEY 白色 五星級飯店使用頂級雙人防絨100%天然水鳥羽毛絨被-6*7尺,951,寢具,熱銷TOP30,https://www.etmall.com.tw/KOSNEY-白色-五星級飯店使用頂級雙人防絨100-天然水鳥羽毛絨被-6-7尺/i/2492397?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2489937,夢之語 重磅加厚 羽絲絨被 (多款任選) 雙人180X210cm-1入 多用機能被/可鋪可蓋,852,寢具,熱銷TOP30,https://www.etmall.com.tw/夢之語-重磅加厚-羽絲絨被-多款任選-雙人180X210cm-1入-多用機能被-可鋪可蓋/i/2489937?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2489946,夢之語 3M頂級天絲兩用被床包四件組 (雙人) 多款任選,1703,寢具,熱銷TOP30,https://www.etmall.com.tw/夢之語-3M頂級天絲兩用被床包四件組-雙人-多款任選/i/2489946?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2487838,夢之語  防靜電雙面加厚 法蘭絨x羊羔絨暖暖被 (多款任選) 150X200cm-1入,499,寢具,熱銷TOP30,https://www.etmall.com.tw/夢之語-防靜電雙面加厚-法蘭絨x羊羔絨暖暖被-多款任選-150X200cm-1入/i/2487838?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2485548,夢之語 防靜電法蘭絨兩用(毯)被床包 雙人 多款任選,1196,寢具,熱銷TOP30,https://www.etmall.com.tw/夢之語-防靜電法蘭絨兩用-毯-被床包-雙人-多款任選/i/2485548?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
2480972,NINO1881璀璨紫石墨烯蓄熱蠶絲被,3337,寢具,熱銷TOP30,https://www.etmall.com.tw/NINO1881璀璨紫石墨烯蓄熱蠶絲被/i/2480972?Store=5&Cate=137416,137416,https://www.etmall.com.tw/熱銷TOP30-寢具/c3/137416
